region,number98/12/07,number98/12/13,number98/12/19,number98/12/25,number99/01/02
Zanjan,0,2,68,201,366
Yazd,0,7,90,326,641
West Azarbaijan,0,5,69,193,756
Tehran,26,1043,1945,3574,4849
Sistan and Baluchistan,2,6,34,60,119
Semnan,2,30,220,450,645
Qom,63,253,712,1004,1161
Qazvin,5,55,247,407,640
Mazandaran,4,62,633,1278,1664
Markazi,5,141,389,698,846
Lorestan,1,14,151,289,443
Kurdistan,0,8,66,134,222
Kohgiluyeh and Boyer-Ahmad,1,2,9,27,73
Khuzestan,3,35,73,253,422
South Khorasan,0,6,37,100,163
Razavi Khorasan,2,28,183,568,816
North Khorasan,0,0,34,52,139
Kermanshah,2,7,44,115,168
Kerman,0,4,36,84,161
Ilam,0,4,31,101,166
Hormozgan,2,11,52,90,146
Hamedan,1,10,60,124,224
Golestan,0,24,175,259,381
Gilan,17,218,524,840,1153
fars,3,35,133,252,479
Isfahan,2,120,601,1183,1892
East Azarbaijan,0,5,69,193,367
Chahar Mahaal and Bakhtiari,0,0,26,49,66
Bushehr,0,0,11,34,55
Ardabil,1,12,72,154,270
Alborz,3,93,307,665,1117
